Alert: Arbitrage Bot started!
BTC-USDT: $116729.8 | Bid: $116729.8 | Ask: $116729.9
ETH-USDT: $4416.72 | Bid: $4416.7 | Ask: $4416.72
SOL-USDT: $188.37 | Bid: $188.37 | Ask: $188.38
BTC-USDT: $116710.4 | Bid: $116710.3 | Ask: $116710.4
ETH-USDT: $4414.89 | Bid: $4414.89 | Ask: $4414.9
SOL-USDT: $188.3 | Bid: $188.28 | Ask: $188.29
BTC-USDT: $116687 | Bid: $116686.9 | Ask: $116687
ETH-USDT: $4414.1 | Bid: $4414.09 | Ask: $4414.1
SOL-USDT: $188.29 | Bid: $188.28 | Ask: $188.29
BTC-USDT: $116671.4 | Bid: $116671.4 | Ask: $116671.5
ETH-USDT: $4413.49 | Bid: $4413.21 | Ask: $4413.22
SOL-USDT: $188.2 | Bid: $188.18 | Ask: $188.19
BTC-USDT: $116680 | Bid: $116681.9 | Ask: $116682
ETH-USDT: $4412.86 | Bid: $4412.85 | Ask: $4412.86
SOL-USDT: $188.17 | Bid: $188.16 | Ask: $188.17
BTC-USDT: $116662 | Bid: $116661.9 | Ask: $116662
ETH-USDT: $4410.45 | Bid: $4410.4 | Ask: $4410.46
SOL-USDT: $188.12 | Bid: $188.12 | Ask: $188.13
BTC-USDT: $116656 | Bid: $116655.9 | Ask: $116656
ETH-USDT: $4409.56 | Bid: $4409.55 | Ask: $4409.56
SOL-USDT: $188.1 | Bid: $188.09 | Ask: $188.1
BTC-USDT: $116657.9 | Bid: $116657.8 | Ask: $116657.9
ETH-USDT: $4408.72 | Bid: $4408.71 | Ask: $4408.85
SOL-USDT: $188.19 | Bid: $188.16 | Ask: $188.17
BTC-USDT: $116653.5 | Bid: $116653.4 | Ask: $116653.5
ETH-USDT: $4407.2 | Bid: $4407.2 | Ask: $4407.21
SOL-USDT: $188.16 | Bid: $188.15 | Ask: $188.16
BTC-USDT: $116649.2 | Bid: $116649.1 | Ask: $116649.2
ETH-USDT: $4407.97 | Bid: $4407.74 | Ask: $4407.75
SOL-USDT: $188.17 | Bid: $188.17 | Ask: $188.18
BTC-USDT: $116653.5 | Bid: $116653.4 | Ask: $116653.5
ETH-USDT: $4407.7 | Bid: $4407.51 | Ask: $4407.52
SOL-USDT: $188.14 | Bid: $188.12 | Ask: $188.13
BTC-USDT: $116672.6 | Bid: $116670.8 | Ask: $116672.7
ETH-USDT: $4409.39 | Bid: $4409.1 | Ask: $4409.11
SOL-USDT: $188.21 | Bid: $188.21 | Ask: $188.22
BTC-USDT: $116672 | Bid: $116671.9 | Ask: $116673.1
ETH-USDT: $4408.6 | Bid: $4408.59 | Ask: $4408.6
SOL-USDT: $188.24 | Bid: $188.24 | Ask: $188.25
BTC-USDT: $116680.2 | Bid: $116680.2 | Ask: $116680.3
ETH-USDT: $4408.94 | Bid: $4408.93 | Ask: $4408.94
SOL-USDT: $188.29 | Bid: $188.29 | Ask: $188.3
BTC-USDT: $116670.6 | Bid: $116670.5 | Ask: $116670.6
ETH-USDT: $4408.4 | Bid: $4408.4 | Ask: $4408.41
SOL-USDT: $188.3 | Bid: $188.29 | Ask: $188.3
BTC-USDT: $116675.9 | Bid: $116675.8 | Ask: $116675.9
ETH-USDT: $4408.95 | Bid: $4408.66 | Ask: $4408.67
SOL-USDT: $188.36 | Bid: $188.36 | Ask: $188.37
BTC-USDT: $116664.3 | Bid: $116664.2 | Ask: $116664.3
ETH-USDT: $4408.28 | Bid: $4408.27 | Ask: $4408.28
SOL-USDT: $188.33 | Bid: $188.32 | Ask: $188.33
BTC-USDT: $116664.6 | Bid: $116664.6 | Ask: $116664.7
ETH-USDT: $4410.79 | Bid: $4410.28 | Ask: $4410.29
SOL-USDT: $188.32 | Bid: $188.31 | Ask: $188.32
BTC-USDT: $116664.7 | Bid: $116664.6 | Ask: $116664.7
ETH-USDT: $4407.89 | Bid: $4407.88 | Ask: $4407.89
SOL-USDT: $188.24 | Bid: $188.23 | Ask: $188.24
BTC-USDT: $116663.8 | Bid: $116663.8 | Ask: $116663.9
ETH-USDT: $4408.72 | Bid: $4408.71 | Ask: $4408.72
SOL-USDT: $188.29 | Bid: $188.26 | Ask: $188.27
BTC-USDT: $116657.2 | Bid: $116657.2 | Ask: $116657.3
ETH-USDT: $4407.73 | Bid: $4407.31 | Ask: $4407.32
SOL-USDT: $188.25 | Bid: $188.24 | Ask: $188.25
BTC-USDT: $116655.2 | Bid: $116655.1 | Ask: $116655.2
ETH-USDT: $4406.24 | Bid: $4406.23 | Ask: $4406.4
SOL-USDT: $188.12 | Bid: $188.16 | Ask: $188.17
BTC-USDT: $116655.2 | Bid: $116655.1 | Ask: $116655.2
ETH-USDT: $4407.2 | Bid: $4407.22 | Ask: $4407.23
SOL-USDT: $188.21 | Bid: $188.22 | Ask: $188.23
BTC-USDT: $116655.2 | Bid: $116655.1 | Ask: $116655.2
ETH-USDT: $4405.88 | Bid: $4406 | Ask: $4406.01
SOL-USDT: $188.18 | Bid: $188.17 | Ask: $188.18
BTC-USDT: $116655.2 | Bid: $116655.1 | Ask: $116655.2
ETH-USDT: $4407.39 | Bid: $4407.38 | Ask: $4407.51
SOL-USDT: $188.22 | Bid: $188.23 | Ask: $188.24
BTC-USDT: $116639.2 | Bid: $116639.1 | Ask: $116639.2
ETH-USDT: $4406.76 | Bid: $4406.75 | Ask: $4406.76
SOL-USDT: $188.17 | Bid: $188.17 | Ask: $188.18
BTC-USDT: $116623.5 | Bid: $116616 | Ask: $116616.1
ETH-USDT: $4402.98 | Bid: $4402.97 | Ask: $4402.98
SOL-USDT: $188.06 | Bid: $188.07 | Ask: $188.08
BTC-USDT: $116594.1 | Bid: $116594.1 | Ask: $116594.2
ETH-USDT: $4398.6 | Bid: $4398.57 | Ask: $4398.65
SOL-USDT: $187.87 | Bid: $187.86 | Ask: $187.87
BTC-USDT: $116579.3 | Bid: $116576.2 | Ask: $116579.4
ETH-USDT: $4398.16 | Bid: $4398.15 | Ask: $4398.16
SOL-USDT: $187.85 | Bid: $187.82 | Ask: $187.83
BTC-USDT: $116558.3 | Bid: $116559.9 | Ask: $116560
ETH-USDT: $4401.54 | Bid: $4401.55 | Ask: $4401.56
SOL-USDT: $187.89 | Bid: $187.88 | Ask: $187.9
BTC-USDT: $116673.7 | Bid: $116673.7 | Ask: $116673.8
ETH-USDT: $4405.31 | Bid: $4405.3 | Ask: $4405.31
SOL-USDT: $188.16 | Bid: $188.15 | Ask: $188.17
BTC-USDT: $116717.8 | Bid: $116717.7 | Ask: $116717.8
ETH-USDT: $4410.9 | Bid: $4410.77 | Ask: $4410.78
SOL-USDT: $188.4 | Bid: $188.36 | Ask: $188.37
BTC-USDT: $116799.9 | Bid: $116797.9 | Ask: $116799.9
ETH-USDT: $4413.19 | Bid: $4413.18 | Ask: $4413.2
SOL-USDT: $188.55 | Bid: $188.55 | Ask: $188.56
BTC-USDT: $116839.9 | Bid: $116839.8 | Ask: $116839.9
ETH-USDT: $4417.56 | Bid: $4417.55 | Ask: $4418
SOL-USDT: $188.63 | Bid: $188.62 | Ask: $188.64
BTC-USDT: $116857.9 | Bid: $116857.1 | Ask: $116857.2
ETH-USDT: $4414.52 | Bid: $4414.52 | Ask: $4414.53
SOL-USDT: $188.43 | Bid: $188.42 | Ask: $188.43
BTC-USDT: $116757 | Bid: $116756.9 | Ask: $116757
ETH-USDT: $4410.9 | Bid: $4410.59 | Ask: $4411
SOL-USDT: $188.43 | Bid: $188.43 | Ask: $188.44
BTC-USDT: $116756.1 | Bid: $116756 | Ask: $116756.1
